run_id,guard,round,fix_title,category,severity,from,to,samples,accepted,applied_to_skill,note
wf_91ee9671,single-sample,0,baseline measurement,n/a,n/a,,3.97,3.97,n/a,n/a,"6 personas + static audit; aggregate = 0.8*mean(persona overall) + 0.2*static consistency; ONE sample"
wf_91ee9671,single-sample,1,Step 2 intro count three->four,structural-contradiction,high,3.97,3.86,3.86,false,true,"Rejected by noisy single sample; corroborated, applied deliberately"
wf_91ee9671,single-sample,2,Query quality checklist (awk/enum),artifact,high,3.97,3.63,3.63,false,false,"Rejected; deferred (needs new template subsection)"
wf_91ee9671,single-sample,3,Step 5 writability parent-dir fix,instruction-fails-in-env,high,3.97,3.79,3.79,false,true,"Rejected by noise; corroborated, applied deliberately"
wf_91ee9671,single-sample,4,Introduce pending-auth binding in Step 4,dangling-instruction,high,3.97,3.77,3.77,false,deferred,"Rejected; feature-direction decision for human"
wf_91ee9671,single-sample,5,Standardize local-override filename,internal-consistency,med,3.97,4.09,4.09,true,true,"Accepted; the one fix the single-sample guard let through"
wf_db60e4d2,median-of-3,0,noise band (5x unchanged skill),n/a,n/a,,3.91,"[4.01,3.91,3.87,3.87,4.15]",n/a,n/a,"NOISE BAND: median 3.91, sd 0.12, range 0.28. Ran on the CURRENT (already-fixed) skill, not the original (args passed as string -> skillPath fell back to default). crisp-expert persona is the noise source (sd 0.45, range 1.0)"
wf_db60e4d2,median-of-3,1,Add YAML frontmatter block to spec template,template-correctness,high,3.91,4.11,"[4.11,4.17,3.87]",true,recommended,"ACCEPTED, delta +0.20 — ABOVE noise. Wires in the bindings feature (the deferred decision). Not auto-applied: implementation contested by static audit; it's the design call for the human"
wf_db60e4d2,median-of-3,2,Step 2 intro matches sub-step topics (v1),structural-consistency,high,4.11,3.89,"[3.89,3.83,4.07]",false,n/a,"Rejected, delta -0.21"
wf_db60e4d2,median-of-3,3,Replace 'who owns it' with partitioning in Step 2 intro,internal-contradiction,high,4.11,4.11,"[4.11,3.95,4.12]",true,true,"ACCEPTED, delta +0.01 (within residual noise) but correct on merits — fixes an inaccuracy my own manual fix introduced; applied"
wf_db60e4d2,median-of-3,4,Intro: account for conditional third artifact,artifact-completeness,high,4.11,4.14,"[4.09,4.24,4.14]",true,deferred,"ACCEPTED, delta +0.03 (within residual noise); created a 'two plus a third' self-contradiction flagged in same run — fold into the bindings decision instead"
wf_db60e4d2,median-of-3,5,Resolve artifact count in Step 5 heading,internal-consistency,high,4.14,3.9,"[3.9,4.13,3.83]",false,n/a,"Rejected, delta -0.24"
wf_aeea6414-240,driver-red-baseline,0,driver-sentinel-trap baseline,driver-persona,n/a,,3,"[2.5,3,3,3.5,4]",n/a,n/a,"contract 24/25 BUT emergent not instructed (skill has no sentinel gate); artifact lens 2"
wf_aeea6414-240,driver-red-baseline,0,driver-concurrent-claim baseline,driver-persona,n/a,,3.5,"[3.5,3,2.5,3.5,3.5]",n/a,n/a,"contract 16/20; sees race 5/5 but lease mechanism only 3/5"
wf_aeea6414-240,driver-red-baseline,0,driver-stage-dag baseline,driver-persona,n/a,,1,"[1.5,1.5,1,1,1]",n/a,n/a,"contract 0/20 total miss, no DAG/prereq concept"
wf_aeea6414-240,driver-red-baseline,0,driver-poison-row baseline,driver-persona,n/a,,1,"[0.5,0.5,1,1,1]",n/a,n/a,"contract 0/20 total miss, no attempts/parked concept"
wf_aeea6414-240,driver-red-baseline,0,driver-vs-tracker baseline,driver-persona,n/a,,4,"[2,4,4,4,4]",n/a,n/a,"contract 18/20; existing tracker guard holds, 1 run fooled by driver veneer"
wf_aeea6414-240,driver-red-baseline,0,AGGREGATE driver red baseline,driver-summary,n/a,,2.5,"58/105=0.55",n/a,n/a,"mean persona overall median 2.5; DAG+poison 0/20; sentinel pass is sim-rescue not skill coverage"
wf_ba42f8c1-391,driver-green,1,driver-sentinel-trap green,driver-persona,n/a,3,4.8,"[5,4.8,4.8,2,4]",true,true,"contract 20/25; overall 3->4.8, artifact lens 2->5; now instructed; 1 outlier rep accepted no without probe"
wf_ba42f8c1-391,driver-green,1,driver-concurrent-claim green,driver-persona,n/a,3.5,4.5,"[4,4.5,4,4.8,5]",true,true,"contract 16/20->20/20; lease mechanism 3/5->5/5"
wf_ba42f8c1-391,driver-green,1,driver-stage-dag green,driver-persona,n/a,1,4,"[4,5,4,4,4.5]",true,true,"contract 0/20->19/20; overall 1->4; DAG closed"
wf_ba42f8c1-391,driver-green,1,driver-poison-row green,driver-persona,n/a,1,4.5,"[4.5,4.5,4,4.5,4.7]",true,true,"contract 0/20->20/20; overall 1->4.5; poison path closed"
wf_ba42f8c1-391,driver-green,1,driver-vs-tracker green,driver-persona,n/a,4,4,"[4.5,4,5,4,4]",true,true,"contract 18/20->20/20; redirect 4/5->5/5, guard strengthened not eroded"
wf_ba42f8c1-391,driver-green,1,AGGREGATE driver green,driver-summary,n/a,2.5,4.36,"99/105=0.94",true,true,"mean overall 2.5->4.36 (+1.86); contract 55%->94%; fully-failed 2->0. Tightening pass next: unconditional sentinel, numbering-collision fix, stop-redirect"
